pid,nome,memoria_mb
2492,goa-daemon,16.71
2499,gsd-disk-utility-notify,7.33
2572,gvfs-udisks2-volume-monitor,9.95
2579,gsd-printer,12.39
2589,goa-identity-service,8.22
2623,evolution-calendar-factory,19.93
2628,ibus-dconf,6.72
2629,ibus-extension-gtk3,21.84
2634,ibus-portal,6.84
2653,gvfs-goa-volume-monitor,6.42
2662,gvfs-afc-volume-monitor,7.43
2667,evolution-addressbook-factory,26.21
2673,gvfs-gphoto2-volume-monitor,6.38
2681,gvfs-mtp-volume-monitor,6.19
2708,ibus-engine-simple,7.49
2731,dconf-service,5.76
2741,gvfsd-trash,8.74
2761,xdg-desktop-portal,12.23
2773,tracker-miner-fs-3,23.46
2775,xdg-desktop-portal-gnome,43.78
2799,gjs,19.4
2865,xdg-desktop-portal-gtk,18.21
2873,gvfsd-metadata,5.96
2955,firefox,536.44
3035,crashhelper,2.77
3105,update-notifier,28.9
3170,forkserver,24.26
3175,Socket Process,29.27
3195,Privileged Cont,112.09
3205,RDD Process,104.96
3241,snap,9.95
3553,WebExtensions,70.34
3734,Utility Process,40.73
3788,Isolated Web Co,103.5
4461,speech-dispatcher,7.9
4473,sd_espeak-ng-mb,0.0
4481,sd_espeak-ng,4.88
4497,sd_dummy,5.26
4500,sd_openjtalk,2.59
5956,psimon,0.0
9258,kworker/3:0-events,0.0
10791,gvfsd-recent,8.64
10899,code,91.47
10901,code,14.18
10902,code,14.6
10923,chrome_crashpad_handler,1.41
10926,Xwayland,36.68
10936,gsd-xsettings,24.07
10960,ibus-x11,19.77
10966,mutter-x11-frames,23.89
11018,code,34.46
11044,code,93.8
11062,code,285.47
11073,code,51.43
11074,code,42.36
11093,code,48.29
11121,code,72.27
11142,bash,2.82
11146,bash,2.52
11278,pet,1.02
11370,bash,2.43
11386,code,142.26
11490,Isolated Web Co,165.61
11538,gnome-calendar,26.02
11595,Discord,123.33
11783,Discord,26.5
11784,Discord,26.08
11796,chrome_crashpad_handler,2.12
11828,Discord,107.11
11857,Discord,50.67
11937,Discord,208.92
11965,Discord,35.4
12906,gvfsd-network,8.8
12915,gvfsd-dnssd,9.09
13471,fwupd,35.43
13508,kworker/2:2-events,0.0
14016,kworker/u17:3-rb_allocator,0.0
14289,Web Content,52.91
14334,bash,3.64
14534,Web Content,52.88
14584,Web Content,52.93
15103,kworker/2:0-i915-unordered,0.0
15311,kworker/0:0-i915-unordered,0.0
15349,kworker/u17:1-i915_flip,0.0
15771,kworker/0:3-events,0.0
15833,kworker/u16:10-i915,0.0
15849,kworker/u16:25-events_unbound,0.0
15850,kworker/u16:26-flush-259:0,0.0
15851,kworker/u16:27-events_unbound,0.0
15892,kworker/1:6-i915-unordered,0.0
15981,irq/151-mei_me,0.0
16176,gjs,65.35
17060,kworker/u17:0-rb_allocator,0.0
17114,kworker/1:0-events,0.0
17272,kworker/3:1-i915-unordered,0.0
17352,kworker/u17:2-rb_allocator,0.0
17393,kworker/2:1-i915-unordered,0.0
17394,kworker/1:1-events,0.0
17766,anacron,2.25
17767,kworker/0:1-i915-unordered,0.0
17793,python3,13.05
